Comentário,Classificação
"Olá, eu tinha uma consulta marcada para 02.09.2025, às 19:40, com o gastroenterologista. Cheguei a tempo e esperei pelo médico até às 21:00, sem resultado. Saí da clínica sem ser atendido pelo médico, porque tinha coisas importantes a fazer e esperar 1,5 horas é inaceitável.
Cancele a fatura que me enviou, não vou pagá-la, pois não recebi nenhum serviço da sua parte.",Serviço Hospitalar
"Efetuei 2 exames em julho/2024 e apenas me foi cobrado um (sem que eu tivesse dado conta). Foram exames marcados, ambos sem necessidade de autorização prévia por parte da seguradora e com prescrição médica válida. Em agosto/2025 recebi uma fatura de quase 69€, relativa ao exame não cobrado na data devida, sem qualquer explicação adicional. Foi-me cobrado o valor total, sem ter em conta a comparticipação da seguradora. Fiz inúmeras reclamações, porque este processo falhou sempre do lado do hospital. Primeiro não cobraram na devida altura e nem estou convicta que cobrar um exame, por esquecimento, depois de 13 meses da sua realização seja legal. Mas, dispus-me sempre a pagar a parte que não seria comparticipada pela seguradora. O Hospital alegou que a seguradora se recusou a comparticipar, sendo que a recusa se deve a ter o processo que permite o pagamento incompleto (faltam documentos). Depois de perceber que o hospital não estava disposto a resolver o assunto com a seguradora, fiz particularmente contacto e recebi da seguradora a informação que tinha feito pedido de anulação da fatura e envio do processo para poderem comparticipar (por diversas vezes) e o hospital nunca respondeu. Enviavam-me cartas e mensagens quase diárias, a última das quais em estilo de ultimato. Acabei por pagar a fatura, estando plenamente convicta que não me cabia tê-lo feito e na esperança de ser ressarcida. Fiquei extremamente desagradada com este situação e convicta que na Luz existe um departamento de faturação com o qual não se consegue comunicar, nada recetivo a análise imparcial de situações e disposto a tudo para ""fazer dinheiro"". Lamentável!",Cobrança indevida
"Venho formalizar uma reclamação contra o Hospital da Luz – Clínica da Amadora por cobrança abusiva, falta de informação clara sobre os custos de exames médicos e ausência total de resposta a dois e-mails enviados.
Em 04.08.2025, realizei exames (colonoscopia e endoscopia), sendo informada verbalmente de que o custo seria de aproximadamente 190 €. Após os procedimentos, fui surpreendida com uma fatura de cerca de 800 €, sem qualquer discriminação dos custos nem consentimento informado.
Enviei e-mails formais nos dias 04.08.2025 e 13.08.2025 solicitando:
Fatura discriminada;
Justificação do valor cobrado;
Revisão da cobrança;
Adoção de medidas corretivas.
A clínica nunca respondeu.
Esta prática é, inclusive, recorrente, como pude verificar em portais públicos de reclamação.
Solicito uma resposta formal a esta reclamação e a revisão imediata da cobrança.",Cobrança indevida
"Hoje, dia 27/08/25 recebi uma fatura de 117,60, do hospital da Luz, relativo a um serviço totalmente desconhecido. Em contato com a linha de apoio, o atendente me informou que a cobrança seria relativa a uma biópsia realizada no dia 24/07/25, entretanto a fatura do referido procedimento chegou no mesmo dia e foi paga logo em seguida. Portanto a cobrança que está sendo feita, é totalmente descabida e indevida.
Solicito o tratamento imediato desse absurdo.
",Cobrança indevida
"Faço está reclamação em meu nome e em nome da minha esposa grávida. Depois de cerca de 40min a aguardar por uma consulta, o que é uma espera relativamente longa tendo em conta a hora de referência, ficamos a aguardar a administração de ferro por via endovenosa por cerca de 2h. Estes tempos de espera são inadmissíveis.
É inconcebível colocar uma mulher grávida, na situação que em que a minha esposa está, a este tempo todo no hospital. No total são mais de 4 horas em total desconforto.
Todos os colaboradores do hospital demonstram total indiferença e falta de sensibilidade para o tema por ser “mais do mesmo”.
O Hospital de Luz vende-se como serviço de saúde de excelência, no entanto está muito aquém das expectativas. Infelizmente nesta fase da gravidez não podemos trocar, mas a frustração é muita pelo fraco serviço prestado.",Tempo de espera 
"Dei entrada no Hospital da luz ( Lisboa) de urgência com uma cólica renal no passado dia 11/08/2025. Passado uma semana tive consulta de Urologia com o Drº Rui Farinha , que quis que eu realiza-se dois TAC de urgência. TAc's esses feitos dois dia depois e combinei com o Drº que depois de feitos ele me ligaria para alinharmos o que fazer.

Na passada sexta feira os resultados estavam prontos e eu liguei para o hospital para que o Drº vi-se os TAC ,fui informado que que iriam passar a informação.

Conclusão hoje terça feira voltei a ligar falei com o assistente do medico ,Srº Pedro batista que me disse que ninguém o tinha informado de nada e que o medico só voltava para a semana.

Posto isto vou ter de esperar até para a semana que venha o medico para ver o vamos fazer ,até lá fico eu com as dores de uma cólica renal.

É esta a cadeia de informação do Hospital da Luz, e isto é a pagar ! UMA VERGONHA",Atendimento Hospitalar
"Sou seguido no Hospital da Luz em várias especialidades, sempre foi o meu hospital.

Cada vez está mais difícil a marcação de consultas, parece um hospital público.

Necessito de uma consulta de Dermatologia, era seguido pela Dr. Joana Coelho, no seguimento de doença autoimune acompanhada pela Dr. Alexandra Horta, foi-me dito que as marcações estão fechadas e 2026 ainda sabem nada.

Parece-me inadmissível.",Marcação de Consulta
"Venho, por este meio, apresentar uma reclamação formal relativamente ao estudo ortodôntico, que a minha filha realizou no dia 22 de março de 2024, no Hospital da Luz Lisboa.

O referido estudo incluiu a realização de um scanner oral e representou um encargo financeiro de 246,90€ (incluindo o valor da consulta), valor que foi integralmente pago na altura da prestação do serviço.

Desde então, fiquei a aguardar a emissão do respetivo orçamento para a colocação do referido aparelho ortodôntico, elemento fundamental para dar seguimento ao tratamento que se encontrava a ser realizado convosco desde o ano de 2018.

Entre maio e outubro de 2024, foram efetuadas várias tentativas de contacto telefónico com os vossos serviços, no sentido de obter esclarecimentos sobre a situação. Na sequência destes contactos, foi-nos comunicado, também através de contacto telefónico, que o assunto estava a ser analisado e que receberíamos uma resposta em breve. No entanto, até hoje, não fomos contactados nem recebemos qualquer informação adicional.

Lamento profundamente a falta de comunicação e de acompanhamento por parte dos vossos serviços, o que considero inaceitável, sobretudo tendo em conta a relação continuada que mantemos convosco há já vários anos. Esta ausência de resposta, que me surpreende, compromete a confiança depositada na vossa equipa e coloca em causa a continuidade de um tratamento clínico importante para a saúde oral da minha filha.

Face ao exposto, e dado que o serviço pago não teve o seguimento adequado nem resultou na entrega do orçamento a que o Hospital da Luz se comprometeu entregar, solicito o ressarcimento integral, bem como um esclarecimento formal sobre este processo.
 ",Tempo de espera 
"No dia 10/06/2025 procurei o Hospital da Luz, em Lisboa, para uma situação de urgência: exposição ao HIV, precisando iniciar imediatamente o tratamento PEP (profilaxia pós-exposição).

Logo na triagem informei claramente a situação. A profissional que me atendeu disse que a medicação seria dada ali mesmo, e me orientou a aguardar. Fiquei mais de duas horas esperando, acreditando que receberia o tratamento.

Ao entrar na sala do médico, fui surpreendido com a informação de que o hospital não iria fornecer a medicação e que eu deveria procurar o Hospital de Santa Maria. Ou seja, perdi tempo precioso por causa de uma informação errada dada na triagem, colocando minha saúde em risco.

Fui imediatamente ao Hospital de Santa Maria, onde fui atendido em menos de 15 minutos, recebi a medicação completa e não paguei nada.

Agora o Hospital da Luz está a cobrar 71 euros por um atendimento que não resolveu absolutamente nada e que só atrasou o início do meu tratamento. Isso é injustificável.

A conduta do hospital viola o dever de informação e o princípio da boa-fé previstos na Lei de Defesa do Consumidor, além de configurar negligência ao não agir de forma diligente diante de uma situação urgente.",Cobrança indevida
"Dirigi-me à Clínica Luz Saúde de Vila Franca de Xira para marcar presença numa consulta de Clínica Geral. Cheguei antes das portas abrirem, às 8h50. A consulta estava aprazada para as 9h. Depois de fazer a admissão, às 9h02, desloquei-me para a zona de espera, aguardando pela consulta.

Sendo a segunda pessoa a ser admitida, achei estranho não ser chamado. Como não há administrativos no 2º piso, fui aconselhado por um técnico clínico a dirigir-me novamente ao piso 0 para perceber o que se passava, marcava o relógio as 10h00. Questionei o porquê de não ser chamado. Depois de uma chamada telefónica ao médico, fui informado que tinha havia um lapso e que o mesmo estava... de férias. O profissional lamentou o ""lapso"" que gerou esta situação. A alternativa que me oferecida foi marcar nova consulta para outro dia, tendo perguntado se seria possível marcar uma consulta para o próprio dia, possibilidade que me foi negada.",Atendimento Hospitalar
"No dia 08 de Agosto de 2025, contactei o Hospital da Luz via telefónica a fim de conseguir perceber como poderia aceder aos resultados de exames que teria feito porquanto o registo da aplicação MyLuz não me deixava atender.
Expliquei que o número que lá se encontrava gravado estava errado, e que o titular do contacto telefónico não se encontrava presente, pelo que, não conseguia terminar o registo.
A senhora que me atendeu foi mal-educada, antipática, tendo respondido que não havia nada a fazer.
Expliquei-lhe que era urgente aceder aos exames e que o número estava errado e se eles não o podiam alterar ao que a senhora diz que vai dar por terminada a chamada e desliga.
A senhora foi rude e antipática desde o início da chamada, ainda tenho dito ""a chamada está a ser gravada"" quando só estava a tentar explicar a situação e perceber como é que a entidade responsável não conseguia fazer a alteração de um contacto telefónico quando em outros serviços médicos já consegui através do apoio ao cliente.
Já tinha tido má experiências com o Hospital da Luz mas esta foi sem dúvida das piores.",Atendimento Hospitalar
"No dia 4 de agosto, dirigi-me ao Hospital da Luz Lisboa para uma consulta, tendo feito previamente um seguro com base na informação que me foi dada por telefone de que existia protocolo com essa seguradora.

Para minha surpresa, quando cheguei ao hospital fui informada de que afinal não existe qualquer protocolo, o que me causou um enorme transtorno e prejuízo, já que fiz o seguro apenas para conseguir realizar as consultas e a extração dentária que necessito!

Considero inadmissível este tipo de falha de comunicação numa instituição como o Hospital da Luz. Aguardo uma explicação e resolução desta situação com urgência.",Falta de Informação 
"No dia 26 de junho de 2025, dirigi-me ao Hospital Luz Amadora para realizar uma biópsia de um nódulo da tiroide, tendo recebido a seguinte fatura:

Código: 80990103
Título: EXAMES CITOLÓGICOS CITOLOGIA ESFOLIATIVA (DE TIPO THIN PREP)
Valor: 38,50 €

Código: 62000027
Título: PUNÇÃO OU BIÓPSIA DIRIGIDA = PREÇO DA REGIÃO +
Valor: 100,00 €

Código: 62000020
Título: ECOGRAFIA TIROIDEIA
Valor: 44,00 €

Total: 182,50 €
Número da fatura: FT FC25/49191

No dia 30 de julho, ou seja, um mês depois, dirigi-me à unidade de Lisboa para repetir exatamente o mesmo exame. No entanto, recebi uma fatura diferente, com valores mais do que duplicados para um exame exatamente igual:

Código: 80990103
Título: EXAMES CITOLÓGICOS CITOLOGIA ESFOLIATIVA (DE TIPO THIN PREP)
Valor: 38,50 €

Código: 62000020
Título: ECOGRAFIA TIROIDEIA
Valor: 44,00 €

Código: 98103606PA
Título: TAC BIÓPSIA COM PUNÇÃO
Valor: 420,00 €

Total: 502,50 €
Número da fatura: FT FC25/956866

Preenchi o formulário de reclamação no site do hospital, tendo posteriormente sido contactado por uma funcionária que afirmou que não houve qualquer erro, e que o código utilizado anteriormente (no valor de 100 €) já não existia. Contudo, contactei a unidade de Amadora, onde me informaram que nada foi alterado.

Apesar do título do exame estar claramente errado — referindo-se a uma biópsia guiada por TAC e não a uma punção de nódulo da tiroide que só pode ser feita por ecografia —, a funcionária insistiu que, do ponto de vista deles, tudo estava correto.

Isto constitui um verdadeiro esquema e é extremamente dececionante.
Irei, sem dúvida, recorrer a todos os meios legais disponíveis para fazer valer os meus direitos.",Cobrança indevida
"Hoje dia 04/08/2015 tive uma consulta na Clínica da Luz da Amadora, cheguei por volta das 12.20h, a consulta era às 12.30h , um bocadinho em cima da hora é verdade, o pior foi estar 35 minutos á espera para fazer a admissão da consulta.
Até compreendia se houvesse muita gente mas não era o caso.
Quando acabaram de atender o número antes do meu levantei-me logo, para não me atrasar mais ainda foi pior, estive ali a olhar para Duas das funcionárias que estavam literalmente a fazer ronha e a gozarem o panorama e até comentários
menos agradáveis.
Gente desta não devia representar uma instituição destas.
Nunca me tinha acontecido",Atendimento Hospitalar
Estou há 4 horas esperando para ser atendida. As pessoas que ficam no atendimento são má educadas e nem se importam se estamos sentindo dores. Um hospital que ainda cobra pra lhe atender e não é barato.,Atendimento Hospitalar
"No dia 8/7/25 fui ao hospital da luz numa situação de urgência onde para além do tempo de espera ser elevado para os padrões que dizem ter fui mal atendido, pois após apresentar os meus sintomas, foi me dito que TALVEZ se tratasse de alguma virose ( uma vez que são videntes e nem exames fazem), após medicação na veia venho para casa com receita de uma medicação que já tomo com alguma regularidade, por aí vi logo que virose não seria, acontece que no dia seguinte aqui estou eu com os sintomas iguais e um pouco agravados.
Não basta melhores o edifício se o objetivo do mesmo foi vergonhoso, pois nem se fala do valor cobrado embora com seguro sai de lá APENAS com a penda do valor.
SE PODERES FUGIR ÀS URGÊNCIAS PRIVADAS FAÇAM POIS O INTUITO É APENAS FACTURAR.",Atendimento Hospitalar
"no dia 27 do mês 6 dirigi-me á urgência do hospital da luz do colombo ,pelas 13,43 horas com sintomas de irritação e a lagrimar da vista direita constantemente ,fui atendida passadas 4 horas por uma medica ( dra. TERESA MARIA SILVA ) com estes sintomas e a meu pedido , para que me enviasse para a especialidade ,a dra. recusou se a fazer isso, receitando me umas gotas ,dizendo que iria passar, passados 5 dias tive que recorrer ao hospital das LUSIADAS ,á consulta de especialidade, por não estar nada melhor, sendo que tinha uma PESTANA espetada na VISTA, apresentando a vista muito inflamada.
agradeço que esta Dra. seja chamada a responsabilidade.

QUANDO NAO SE ENTENDE COM AS SITUAÇOES DE ENCAMINHAR PARA A ESPECIALIDADE",Atendimento Hospitalar
"No dia de hoje, dirigi-me na parte da manhã para realizar um exame de imagiologia, no hospital da luz de Lisboa. Tinha marcação agendada, confirmada por SMS + Chamada telefónica realizada no dia anterior, e ainda tinha a mesma em formato papel.  Desloquei-me da minha zona de residência ( Setúbal) , para Lisboa, gastei gasóleo, paguei as devidas portagens. Cheguei lá, fiz a a devida admissão informaticamente à qual consta a data/hora de hoje, tudo correto.  Retirei a devida senha, e dirigi-me ao respectivo administrativo, ao qual me diz que o exame não é hoje, mas sim amanhã.  É inadmissível, porque encerrei o meu estabelecimento, pedi ao meu filho para faltar ao trabalho para me acompanhar e ainda tive as respetivas despesas, tudo inútil, e o hospital simplesmente não tem resposta.  Não faz qualquer sentido.  Obrigado.",Atendimento Hospitalar
" No passado dia 4 de Setembro de 2025 dirigi-me ao Hospital da Luz de Lisboa, para uma consulta de obstetrícia com marcação. À parte as 2 horas de espera para ser chamada para a consulta, uma vez que houve uma troca com as senhas, a consulta demorou 15 minutos e foi me feita uma ecografia de gravidez sem qualquer datação (sem confirmação de tempo de gravidez nem datação de parto). Sendo a minha primeira consulta de gravidez era esperada a datação e confirmação de tempo.  Após esta situação, foi me enviada uma fatura de 110 euros (valor a particular), sendo que tenho seguro com a Tranquilidade - Keepwells Mais. Contactei várias vezes a seguradora que me informou deter de acordo com o Hospital da Luz de Lisboa e que o departamento de faturação do Hospital poderia entrar em contacto com a mesma.  No Hospital da Luz de Lisboa não alteram a fatura, após vários contactos. Já lhes forneci dois números para faturação (o número do cartão da seguradora e um número de ID). O Hospital continua a referir que não tem acordo (no site da Keepwells Mais são apresentados vários médicos do Hospital da Luz de Lisboa como prestadores).",Cobrança indevida 
" região que oferecem maior eficiência e respeito pelo utente.Solicito, portanto, a devolução do valor de 70€ cobrado pela realização do exame, uma vez que o serviço não foi concluído dentro de um prazo razoável e comprometeu o acompanhamento clínico previsto.Aguardo uma resposta célere e a resolução desta situação.",Falta de atendimento 
"Fui contatada agora a informar que a minha consulta de dermatologia com o dr Bruno Duarte que estava agendada para outubro, que o Doutor já não fazia consultas com cabertura de seguro de saúde e se quiser manter a consulta só em título particular, no valor de 110€. Esta questão prende-se por 2 situações, uma é que estou a espera desta consulta desde Março e que inicialmente foi marcada para agosto, depois desmarcaram para outubro e agora em setembro informam se quiser a consulta tenho que pagar a título particular, eu pago seguro de saúde que é para conseguir ter desconto nos valores das consultas. A outra situação, foi que então se o Doutor não faz consultas com seguro, pretendo marcar outra consulta com outro médico(a) que faça, qual é o meu espanto em que dizem que o hospital já não tem nenhum médico para 1ª consulta com cobertura de seguro de saúde. Como é admissivel uma situação dessas, estou a espera de uma consulta de um hospital privado à cerca de 6 meses e depois não apresentam soluções viáveis aos utentes, que pagam seguros de saude para poder ter um pouco mais de diginidade na saúde, já que nos hospitais públicos essa dignidade acabou a muito tempo.",Atendimento indevido 
"Venho expressar minha total revolta e indignação com o atendimento vergonhoso e desumano do Hospital da Luz. É inadmissível que um hospital que se diz referência mantenha pessoas esperando MAIS DE QUATRO HORAS nas urgências, sem qualquer respeito, empatia ou consideração com quem está doente, sentindo dor e fragilizado.  As atendentes são de uma má vontade absurda, tratam os pacientes com desprezo, como se estivessem fazendo um favor em vez de cumprir o mínimo que se espera de profissionais da saúde: humanidade e respeito. A organização é caótica, a comunicação inexistente e o ambiente é simplesmente hostil. Tudo nesse atendimento é uma verdadeira vergonha!  O que está acontecendo com a gestão desse hospital? Cadê a responsabilidade com os pacientes? Cadê a eficiência? Cadê o atendimento digno que vocês tanto divulgam em campanhas publicitárias caríssimas? Porque a realidade, dentro da urgência, é uma só: descaso, demora absurda e um atendimento que beira o ridículo.",Atendimento indevido 
"Venho por este meio apresentar uma reclamação relativamente ao atendimento no vosso hospital, nomeadamente no que diz respeito ao tempo de espera para uma consulta previamente marcada.  No dia 17 de Abril de 2025, compareci nas vossas instalações para uma consulta agendada para as 11:20, sendo que pelas 11:15 fiz admissã da mesma. No entanto, fui apenas atendido cerca de uma hora após o horário marcado, o que considero um desrespeito para com o utente que planeia a sua vida em função de um horário estabelecido. Esta situação causou-me grande incómodo e transtorno. Já é a terceira vez que este evento acontece neste mesmo hospital.  Compreendo que imprevistos possam ocorrer, mas considero que atrasos desta ordem, sem qualquer tipo de justificação ou informação por parte da equipa, não devem ser encarados como normais, especialmente em instituições de saúde onde a organização e o respeito pelo utente devem ser prioridades.  Solicito que esta situação seja averiguada e que sejam tomadas medidas no sentido de melhorar a gestão de tempo e atendimento das consultas, garantindo mais respeito pelo tempo dos utentes.",Atendimento indevido 
"Venho por este meio expor uma situação grave e potencialmente abusiva por parte do Hospital da Luz Lisboa. Foi apresentado um orçamento cirúrgico no valor de 22.100€ para uma cirurgia de endometriose profunda (prevista para dia 24 de abril de 2025), onde mais de 12.800€ estão agrupados sob uma rubrica genérica intitulada “Consumíveis, Fármacos e Materiais”, sem qualquer discriminação técnica ou especificação dos custos.  Apesar de vários pedidos formais de esclarecimento, por escrito e presencialmente, o hospital recusou-se sistematicamente a fornecer essa discriminação antes da realização da cirurgia — o que consideramos um desrespeito pelo direito à informação do consumidor, especialmente em contexto de saúde privada, com valores tão elevados.  Para agravar, a seguradora (SAMS via AdvanceCare) indicou inicialmente que comparticiparia 5.315€, mas após alterações no plano cirúrgico (com remoção de vários atos médicos), a comparticipação foi ainda reduzida para 4.662€. Mesmo assim, o hospital manteve o orçamento total inalterado, sem apresentar qualquer justificação ou revisão do valor global.",
"Venho por este meio saber se é possível solicitar a vossa intervenção e orientação relativamente a uma situação de má prática médica que vivenciei no Hospital da Luz, em Lisboa, e que se tem repetido com outras utentes.   No dia 18 de fevereiro de 2025, fui submetida a uma consulta de ginecologia com o Dr. Shadi Abushab, durante a qual fui confrontada com uma série de violações éticas e profissionais. Em nenhum momento me foram explicados os procedimentos que seriam realizados – nomeadamente o toque vaginal e a colheita para citologia –, nem tão pouco os potenciais desconfortos associados. A mera instrução para me despir, sem que me fosse fornecida sequer uma bata adequada, não constitui, de forma alguma, o consentimento informado exigido por lei.   Para além disso, o médico fez um comentário profundamente inapropriado – ""estás pronta para engravidar"" –, que não só revelou falta de profissionalismo como criou um ambiente de desconforto e constrangimento. O exame foi realizado de forma brusca, sem qualquer aviso prévio, causando-me dor e angústia.   O mais preocupante é que, ao pesquisar sobre este profissional, descobri múltiplos relatos de outras mulheres que passaram por experiências semelhantes, o que demonstra um padrão de conduta inaceitável. Apresentei uma reclamação formal ao hospital, mas a resposta recebida foi completamente insuficiente, desvalorizando os factos e ignorando as provas apresentadas.   Perante esta situação, venho solicitar a vossa ajuda para:  1. Compreender os meus direitos enquanto utente do serviço de saúde;  2. Orientar-me sobre os passos a seguir para garantir que o hospital seja responsabilizado;  3. Avaliar a possibilidade de avançar com uma ação por danos morais.   Envio em anexo toda a documentação relevante, incluindo a troca de correspondência com o hospital e registos de outras queixas contra o mesmo médico.   Agradeço desde já a vossa atenção e aguardo uma resposta no sentido de me indicarem como posso contar com o vosso apoio neste processo.",
"No dia 06/01/2025 fui submetida a cirurgia ocular no Hospital da Luz em Coimbra e foi-me cobrado indevidamente o valor total de, 2,450,00 euros relativo à Córnea Humana para transplante. Mais se informa, que a colheita e transplante de órgãos e tecidos de origem humana, encontra-se devidamente legislado em Portugal, encontrando-se estritamente proibida a atribuição de qualquer valor, aos órgãos, tecidos ou células colhidos ou transplantados/ nº 3 do artigo 5º da lei nº 12/93, de 22 de abril na sua atual redação. ",
"1 - Consulta no dia 4 de Fevereiro 2 - Paguei 140 euros quando dei a minha entrada 3 - Depois verificaram que tinha Medis e que o valor da consulta + exame eram 39.60 Euros 4 - Paguei os 39,60 Euros 5 - Dizem que vão devolver os 140 euros que paguei inicialmente desde o dia 4 !! 6 - envio emails, ligo para o apoio a cliente e dizem que não podem fazer nada porque o assunto está com um departamento que não atendem 7 - Não resolvem presencialmente 8 - Faz hoje 35 dias que estou a aguardar os 140 euros (dei toda a informação bancária necessária para a devolução) 9 - O pior de tudo é não obter nenhuma resposta !!",
"Aquando da realização do meio de diagnóstico descrito na Fatura Fatura HLuz_FC24-1325880, sai da consulta e fui encaminhada para o RX, sem ter recebido a informação prévia de que este exame de diagnóstico não estaria convencionado com o meu sistema de saúde, pelo que me foi faturado o valor de 69.00€, sem eu ter tipo a opção de o realizar sob outro sistema ou não fazer!  Assiste-me o direito de informação prévia dos valores que poderei vir a liquidar na prestação de um serviço ou aquisição de um bem; pelo que tenho colocado a Reclamação ao Hospital da Luz de Lisboa, sem sucesso, inclusive existe uma comunicação da Médis com a informação expressa de que o prestador de serviço terá sempre de informar o utente dos valores a liquida",
"No dia 08-10-2025 , dirigi-me aos V/Serviços para consulta de medicina dentária com a DrºJoana Mimoso conforme agendado.O procedimento seria a limpeza de um dente, que tinha tido uma infecção. Durante o processo ( que está referido na factura de 163.50 € que anexo) referi á DRª que aquele dente era essencial pois tenho uma esquelética que apoia nesse mesmo dente. Foi me referido para não me preocupar, que voltaria lá daqui por 15 dias e o dente seria fechado então com massa e ficaria definitivo.Ao fim de 3 dias o dente partiu-se ao meio, depois de diversas tentativas telefonicas em que não consegui falar com a DRª, apresentei-me no Hospital da Luz no dia 14-10-2025 para tentar falar com a Dra para resolver a situação.Fui atendido pela mesma, onde colou a metade do dente no resto do dente que tenho na boca, e que iria reunir com o colega o Dr Luis Alves para ver o como poderiam colocar um espigão que eu já tinha mas foi retirado pela dra para arranjar o dente. Nesse mesmo dia à noite, o dente voltou a partir. Mandei-lhe mensagem ( pois tinha me dado o nº de telemóvel para se houvesse mais algum problema) e posteriormente mandou-me ir ao seu colega o Dr.Luis Alves no dia 17-10-2025na Luz de Oeiras.O DrºLuis Alves ao verificar o dente disse, que não havia nada a fazer, a única hipótese seria remover o resto do dente que tenho na boca e colocar uma dente na esquelética que já tenho, uma vez que da maneira que o meu dente estava partido não tinha concerto.Não concordo com a factura apresentada, uma vez que não só não me resolveu o problema, como me danificou o dente de maneira que acabou partindo se. Fiquei sem o dente, tenho de pagar um novo que será afixado na esquelética que já tenho. Não vou pagar por um serviço que que não só não resolveu o problema, como ainda o agravou. Entrei com um dente meu, e neste momento tenho de colocar um implante.No meu entender não tenho de liquidar uma factura sobre um serviço que foi mal realizado e do qual resultou gastos maiores.",
"Exmos. Senhores,  Aquando da realização do meio de diagnóstico descrito na Fatura Fatura HLuz_FC24-1325880, sai da consulta e fui encaminhada para o RX, sem ter recebido a informação prévia de que este exame de diagnóstico não estaria convencionado com o meu sistema de saúde, pelo que me foi faturado o valor de 69.00€, sem eu ter tipo a opção de o realizar sob outro sistema ou não fazer!  Assiste-me o direito de informação prévia dos valores que poderei vir a liquidar na prestação de um serviço ou aquisição de um bem; pelo que tenho colocado a Reclamação ao Hospital da Luz de Lisboa, sem sucesso, inclusive existe uma comunicação da Médis com a informação expressa de que o prestador de serviço terá sempre de informar o utente dos valores a liquida!  Cumprimentos",Cobrança indevida 
"Exmos. Senhores,  Eu Roberto silva compareci no hospital da luz lisboa dia 02-08-24 para fazer a marcação de uma consulta de urologia, chegando ao balcão o rececionista confirmou que meu seguro era aceito no hospital e que a consulta ficaria até 37 EUR , após isso fiz a marcação da consulta para o dia 09-08-24 ás 12:45 de uma sexta feira. Chegando ao hospital queria já fazer o pagamento, e outra rececionista disse que só poderia ser realizado o mesmo, pós consulta. A consulta com o DR Rui Farinha, durou em cerca de 5 minutos a qual não foi resolvido minha questão com o mesmo, e encaminhado a outro profissional da área. Pois isso foi realizar o pagamento, e a rececionista diz que minha consulta era de 105 EUR, questionei na hora e disse que o meu seguro não era aceito pelo hospital, diferentemente do rececionista do dia 02-08 que foi o dia da marcação, lembrando que o mesmo olho e viu o cartão do meu seguro.  pós isso, fiquei totalmente constrangido, e não tinha o valor para pagar pós a consulta pelo qual foi informado não iria passar do valor de 37 EUR, e quando chega foi para 105 EUR um absurdo com o consumidor e falta de informações e qualificações entre os funcionários da unidade do hospital.  com isso contratrei a deco PRO teste para resolve meu problema, visto que estou com uma fatura ao hospital de 105 EUR. aguardo o mais breve possível o retorno.   Cumprimentos",Cobrança indevida 
"Exmos. Senhores,  No dia 17-7-2024 fiz exames ao coração neste hospital. Informaram-me que teria relatorio uma semana depois. Tal nao aconteceu. Telefonei para o hospital e fui atendido por sistema digital que me fez varias perguntas e me mandou esperar. Espero, espero , espero acima de 20 minutos, sempre com uma musica de fundo horrivel, e finalmente o telefone desliga se sem qualquer informação. Isto acontece repetidamente.  Cumprimentos.

",Falta de informação
"Exmos. Senhores,  No passado 17-7-2024 realizei exames importantes ao coração no hospital da luz. Informaram-me que os resultados estariam prontos uma semana depois. Alguns dias depois tento aceder ao hospital por telefone para saber os resultados e sou atendido por um sistema digital que me fez diversas perguntas e que posteriormente me põe em linha de espera, por periodos interminaveis sem qualquer informação, acabando por desligar a chamada. Trata-se provavelmente de uma forma digital de mandar as pessoas para um sitio.... menos proprio... entretanto continuo sem ter resultados do importante exame...  Cumprimentos.

",Falta de informação
"Exmos. Senhores, no Sábado dia 15\06\2024 realizei uma ressonância no hospital da luz de Guimarães que deveria ter ficado pronta no dia 21\06\2024, sempre que ligo para os serviços de atendimento dizem-me que tentaram contactar com essa ala do hospital e que ninguém atende, ontem desloquei-me ao hospital da luz de Guimarães onde me foi garantido que ainda ontem me enviariam o resultado da ressonância, hoje voltei a contactar os serviços por telefone e voltei a receber a resposta de ontem de que ninguém atendia na ala, preciso do resultado da ressonância com urgência e estou a ouvir mentiras constantes por parte dos serviços...",Falta de informação
